['2025-05-06-22-37-59_0', [1, 100]]
['2025-05-06-22-40-27_0', [1, 100]]
['2025-05-06-22-42-57_0', [1, 100]]
['2025-05-06-22-45-25_0', [1, 100]]
['2025-05-06-22-47-54_0', [1, 100]]
['2025-05-06-22-50-23_0', [1, 100]]
['2025-05-06-22-52-51_0', [1, 100]]
['2025-05-06-22-55-23_0', [1, 100]]
['2025-05-06-22-57-52_0', [1, 100]]
['2025-05-06-23-00-21_0', [1, 100]]
['2025-05-06-23-02-49_0', [1, 100]]
['2025-05-06-23-05-17_0', [1, 100]]
['2025-05-06-23-07-47_0', [1, 100]]
['2025-05-06-23-10-16_0', [1, 100]]
['2025-05-06-23-12-46_0', [1, 100]]
['2025-05-06-23-15-14_0', [1, 100]]
['2025-05-06-23-17-43_0', [1, 100]]
['2025-05-06-23-20-12_0', [1, 100]]
['2025-05-06-23-22-40_0', [1, 100]]
['2025-05-06-23-25-10_0', [1, 100]]
['2025-05-06-23-27-39_0', [1, 100]]
['2025-05-06-23-30-09_0', [1, 100]]
['2025-05-06-23-32-38_0', [1, 100]]
['2025-05-06-23-35-06_0', [1, 100]]
['2025-05-06-23-37-36_0', [1, 100]]
['2025-05-06-23-40-05_0', [1, 100]]
['2025-05-06-23-42-33_0', [1, 100]]
['2025-05-06-23-45-03_0', [1, 100]]
['2025-05-06-23-47-31_0', [1, 100]]
['2025-05-06-23-50-00_0', [1, 100]]
['2025-05-06-23-52-28_0', [1, 100]]
['2025-05-06-23-54-57_0', [1, 100]]
['2025-05-06-23-57-25_0', [1, 100]]
['2025-05-06-23-59-53_0', [1, 100]]
['2025-05-07-00-02-23_0', [1, 100]]
['2025-05-07-00-04-51_0', [1, 100]]
['2025-05-07-00-07-19_0', [1, 100]]
['2025-05-07-00-09-47_0', [1, 100]]
['2025-05-07-00-12-15_0', [1, 100]]
['2025-05-07-00-14-44_0', [1, 100]]
['2025-05-07-00-17-13_0', [1, 100]]
['2025-05-07-00-19-43_0', [1, 100]]
['2025-05-07-00-22-13_0', [1, 100]]
['2025-05-07-00-24-41_0', [1, 100]]
['2025-05-07-00-27-09_0', [1, 100]]
['2025-05-07-00-29-37_0', [1, 100]]
['2025-05-07-00-32-07_0', [1, 100]]
['2025-05-07-00-34-36_0', [1, 100]]
['2025-05-07-00-37-05_0', [1, 100]]
